"filename", "language", "XML", "Java", "MS SQL", "Java Properties", "comment", "blank", "total"
"c:\Ninjavas\routegenie\dependency-reduced-pom.xml", "XML", 3, 0, 0, 0, 0, 0, 3
"c:\Ninjavas\routegenie\pom.xml", "XML", 3, 0, 0, 0, 0, 1, 4
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\algorithms\DynamicProgramming.java", "Java", 0, 150, 0, 0, 30, 35, 215
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\algorithms\NearestNeighbour.java", "Java", 0, 33, 0, 0, 13, 8, 54
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\algorithms\Solver.java", "Java", 0, 35, 0, 0, 15, 10, 60
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\controller\CityDistanceManager.java", "Java", 0, 85, 0, 0, 1, 10, 96
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\controller\Inserter.java", "Java", 0, 278, 0, 0, 8, 13, 299
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\core\Comparison.java", "Java", 0, 74, 0, 0, 1, 11, 86
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\core\Main.java", "Java", 0, 69, 0, 0, 7, 13, 89
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\core\Menu.java", "Java", 0, 97, 0, 0, 69, 36, 202
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\data\CitiesAndDistances.java", "Java", 0, 289, 0, 0, 5, 14, 308
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\data\DB.java", "Java", 0, 35, 0, 0, 5, 7, 47
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\data\Ninjavas.sql", "MS SQL", 0, 0, 249, 0, 0, 18, 267
"c:\Ninjavas\routegenie\src\main\java\gr\dmst\aueb\repository\CitiesAndDistances.java", "Java", 0, -289, 0, 0, -3, -12, -304
"c:\Ninjavas\routegenie\src\main\java\gr\dmst\aueb\repository\CityDistanceManager.java", "Java", 0, -84, 0, 0, -1, -13, -98
"c:\Ninjavas\routegenie\src\main\java\gr\dmst\aueb\repository\Comparison.java", "Java", 0, -43, 0, 0, -1, -8, -52
"c:\Ninjavas\routegenie\src\main\java\gr\dmst\aueb\repository\DB.java", "Java", 0, -39, 0, 0, -5, -8, -52
"c:\Ninjavas\routegenie\src\main\java\gr\dmst\aueb\repository\DynamicProgramming.java", "Java", 0, -149, 0, 0, -31, -35, -215
"c:\Ninjavas\routegenie\src\main\java\gr\dmst\aueb\repository\Inserter.java", "Java", 0, -281, 0, 0, -8, -14, -303
"c:\Ninjavas\routegenie\src\main\java\gr\dmst\aueb\repository\Main.java", "Java", 0, -53, 0, 0, -7, -12, -72
"c:\Ninjavas\routegenie\src\main\java\gr\dmst\aueb\repository\Menu.java", "Java", 0, -72, 0, 0, -6, -17, -95
"c:\Ninjavas\routegenie\src\main\java\gr\dmst\aueb\repository\NearestNeighbour.java", "Java", 0, -33, 0, 0, -13, -9, -55
"c:\Ninjavas\routegenie\src\main\java\gr\dmst\aueb\repository\Ninjavas.sql", "MS SQL", 0, 0, -249, 0, 0, -18, -267
"c:\Ninjavas\routegenie\src\main\java\gr\dmst\aueb\repository\Solver.java", "Java", 0, -26, 0, 0, -15, -6, -47
"c:\Ninjavas\routegenie\src\main\java\gr\dmst\aueb\repository\testm1.class", "Java", 0, -29, 0, 0, 0, 0, -29
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\algorithms\DynamicProgramming.class", "Java", 0, 109, 0, 0, 0, 3, 112
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\algorithms\NearestNeighbour.class", "Java", 0, 21, 0, 0, 0, 0, 21
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\algorithms\Solver.class", "Java", 0, 20, 0, 0, 0, 0, 20
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\controller\CityDistanceManager.class", "Java", 0, 46, 0, 0, 0, 2, 48
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\controller\Inserter.class", "Java", 0, 284, 0, 0, 0, 3, 287
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\core\Comparison.class", "Java", 0, 45, 0, 0, 0, 6, 51
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\core\Main.class", "Java", 0, 56, 0, 0, 0, 0, 56
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\core\Menu.class", "Java", 0, 40, 0, 0, 0, 4, 44
