"filename", "language", "Markdown", "MS SQL", "XML", "Java", "Java Properties", "comment", "blank", "total"
"c:\Ninjavas\DB.class", "Java", 0, 0, 0, 19, 0, 5, 0, 24
"c:\Ninjavas\Main\.idea\workspace.xml", "XML", 0, 0, 39, 0, 0, 0, 0, 39
"c:\Ninjavas\Ninjavas.sql", "MS SQL", 0, 249, 0, 0, 0, 0, 7, 256
"c:\Ninjavas\README.md", "Markdown", 29, 0, 0, 0, 0, 0, 17, 46
"c:\Ninjavas\routegenie\dependency-reduced-pom.xml", "XML", 0, 0, 124, 0, 0, 0, 1, 125
"c:\Ninjavas\routegenie\pom.xml", "XML", 0, 0, 130, 0, 0, 0, 17, 147
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\algorithms\DynamicProgramming.java", "Java", 0, 0, 0, 150, 0, 30, 35, 215
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\algorithms\NearestNeighbour.java", "Java", 0, 0, 0, 33, 0, 13, 8, 54
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\algorithms\Solver.java", "Java", 0, 0, 0, 35, 0, 15, 10, 60
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\controller\CityDistanceManager.java", "Java", 0, 0, 0, 85, 0, 1, 10, 96
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\controller\Inserter.java", "Java", 0, 0, 0, 278, 0, 8, 13, 299
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\core\Comparison.java", "Java", 0, 0, 0, 74, 0, 1, 11, 86
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\core\Main.java", "Java", 0, 0, 0, 69, 0, 7, 13, 89
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\core\Menu.java", "Java", 0, 0, 0, 97, 0, 69, 36, 202
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\data\CitiesAndDistances.java", "Java", 0, 0, 0, 289, 0, 5, 14, 308
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\data\DB.java", "Java", 0, 0, 0, 35, 0, 5, 7, 47
"c:\Ninjavas\routegenie\src\main\java\gr\aueb\dmst\NinJavas\data\Ninjavas.sql", "MS SQL", 0, 249, 0, 0, 0, 0, 18, 267
"c:\Ninjavas\routegenie\src\main\resources\Main.java", "Java", 0, 0, 0, 321, 0, 20, 119, 460
"c:\Ninjavas\routegenie\src\test\java\CitiesandDistancesTest.java", "Java", 0, 0, 0, 0, 0, 72, 15, 87
"c:\Ninjavas\routegenie\src\test\java\SolverTest.java", "Java", 0, 0, 0, 0, 0, 771, 129, 900
"c:\Ninjavas\routegenie\target\classes\Main.java", "Java", 0, 0, 0, 321, 0, 20, 119, 460
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\algorithms\DynamicProgramming.class", "Java", 0, 0, 0, 109, 0, 0, 3, 112
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\algorithms\NearestNeighbour.class", "Java", 0, 0, 0, 21, 0, 0, 0, 21
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\algorithms\Solver.class", "Java", 0, 0, 0, 20, 0, 0, 0, 20
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\controller\CityDistanceManager.class", "Java", 0, 0, 0, 46, 0, 0, 2, 48
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\controller\Inserter.class", "Java", 0, 0, 0, 284, 0, 0, 3, 287
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\core\Comparison.class", "Java", 0, 0, 0, 45, 0, 0, 6, 51
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\core\Main.class", "Java", 0, 0, 0, 56, 0, 0, 0, 56
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\core\Menu.class", "Java", 0, 0, 0, 40, 0, 0, 4, 44
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\data\CitiesAndDistances.class", "Java", 0, 0, 0, 89, 0, 0, 1, 90
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\data\DB.class", "Java", 0, 0, 0, 28, 0, 0, 0, 28
"c:\Ninjavas\routegenie\target\classes\gr\aueb\dmst\NinJavas\data\Ninjavas.sql", "MS SQL", 0, 249, 0, 0, 0, 0, 18, 267
"c:\Ninjavas\routegenie\target\maven-archiver\pom.properties", "Java Properties", 0, 0, 0, 0, 3, 0, 1, 4
"Total", "-", 29, 747, 293, 2544, 3, 1042, 637, 5295
